layer,index,s,s_over_s1,log10_s_over_s1
3.0,161.0,0.00020916601158860044,8.547009265076375e-6,-5.068185825259374
3.0,162.0,0.00020913560275143912,8.545766689330038e-6,-5.068248968167509
3.0,163.0,0.00019953373705204136,8.15341214534138e-6,-5.088660604048655
3.0,164.0,0.0001994096137731673,8.14834017974577e-6,-5.0889308482159965
3.0,165.0,0.00019463200445283662,7.953115961357477e-6,-5.099462685218499
3.0,166.0,0.00019462470834068332,7.952817825261178e-6,-5.099478965791929
3.0,167.0,0.00019407759177899085,7.930461371235274e-6,-5.100701545954404
3.0,168.0,0.00019243250334194392,7.863239235064483e-6,-5.104398510943449
3.0,169.0,0.00019242808005151757,7.86305848913942e-6,-5.104408493834433
3.0,170.0,0.00018955274039606686,7.745565429493978e-6,-5.110946873069937
3.0,171.0,0.0001895147482693211,7.744012982914203e-6,-5.111033927600067
3.0,172.0,0.00017591731744298896,7.188390363487492e-6,-5.143368346684759
3.0,173.0,0.0001758848079938467,7.187061951854498e-6,-5.14344861154612
3.0,174.0,0.00017547505247245785,7.170318389116327e-6,-5.144461559594918
3.0,175.0,0.00016615231566576737,6.7893697002854945e-6,-5.1681705421250745
3.0,176.0,0.00016610761007901912,6.7875429261301905e-6,-5.1682874108067764
3.0,177.0,0.00015576748463588865,6.365021373544901e-6,-5.19620013366044
3.0,178.0,0.00015100265153825975,6.170319221303851e-6,-5.209692367171857
3.0,179.0,0.00015094069230485105,6.167787423054321e-6,-5.209870602950845
3.0,180.0,0.0001387485855072316,5.669589608941901e-6,-5.246448376208042
3.0,181.0,0.000138729029980739,5.668790524688937e-6,-5.246509590927979
3.0,182.0,0.0001378108033754532,5.631269651946698e-6,-5.249393676077817
3.0,183.0,0.00013773512168050277,5.628177122032182e-6,-5.24963224352038
3.0,184.0,0.00013681223780903634,5.590465942571881e-6,-5.252551993928455
3.0,185.0,0.0001357747412455626,5.548071422194754e-6,-5.255857956743415
3.0,186.0,0.00013575103626920504,5.547102781778381e-6,-5.255933787042447
3.0,187.0,0.00012734504915619345,5.203614615649682e-6,-5.283694875157031
3.0,188.0,0.00012733337775160122,5.203137694937618e-6,-5.283734680857698
3.0,189.0,0.00012416773625770775,5.0737822276094246e-6,-5.294668177117676
3.0,190.0,0.00012413815613659642,5.0725735151265485e-6,-5.294771650163036
3.0,191.0,0.00012116624579267464,4.95113435275233e-6,-5.3052952886014
3.0,192.0,0.00010974530402695522,4.484448133771896e-6,-5.348290994582949
3.0,193.0,0.00010431654942927266,4.262616606308054e-6,-5.370323727463734
3.0,194.0,9.484942061345083e-5,3.875767724465577e-6,-5.411642258196499
