n,family,r,chi,at_ceiling,eps_chi,obs,O_exact,err_direct,err_dmpf,ratio,err_proj,err_best_single,cond_N,singular,relerr_N,dc_max,dcNdc,dc_frac_null,corr_min,time_s
8,4-8-16,3,48,no,5.484323e-04,Z7,-0.3692488824,4.89316746e-02,2.41422577e-04,202.680608,2.80992833e-05,1.43034509e-03,1.158486e+02,false,3.534682e-01,3.664003e-01,4.836817e-06,0.813646,0.561095,71.5
8,4-8-16,3,48,no,5.484323e-04,Z8,0.6822338771,1.88768254e-02,3.12847639e-05,603.387178,1.61731796e-05,8.66317780e-04,1.158486e+02,false,3.534682e-01,3.664003e-01,4.836817e-06,0.813646,0.561095,71.5
8,2-4-8-16,4,48,no,5.484323e-04,Z_mid,0.5472968202,3.24726009e-02,4.65650201e-03,6.973604,7.28682571e-06,1.85901616e-03,1.832774e+03,false,9.674591e-02,2.844789e-01,8.913399e-05,0.845569,0.132752,71.5
8,2-4-8-16,4,48,no,5.484323e-04,ZZ_mid,-0.5911151966,1.35809932e-02,2.56399463e-03,5.296810,5.02480428e-06,1.34601135e-03,1.832774e+03,false,9.674591e-02,2.844789e-01,8.913399e-05,0.845569,0.132752,71.5
8,2-4-8-16,4,48,no,5.484323e-04,Z_mean,0.1392920236,2.63236996e-03,5.49366108e-13,4791649716.885212,5.46118706e-13,5.52058399e-13,1.832774e+03,false,9.674591e-02,2.844789e-01,8.913399e-05,0.845569,0.132752,71.5
8,2-4-8-16,4,48,no,5.484323e-04,Z1,-0.4064784575,1.57114762e-02,4.48523119e-04,35.029356,8.13300942e-06,1.11442886e-03,1.832774e+03,false,9.674591e-02,2.844789e-01,8.913399e-05,0.845569,0.132752,71.5
8,2-4-8-16,4,48,no,5.484323e-04,Z2,0.3476279498,1.56988457e-03,3.65283244e-03,0.429772,2.02863704e-06,5.62776983e-03,1.832774e+03,false,9.674591e-02,2.844789e-01,8.913399e-05,0.845569,0.132752,71.5
8,2-4-8-16,4,48,no,5.484323e-04,Z3,-0.1930512129,1.08732496e-02,2.52124793e-03,4.312646,4.74127206e-06,2.88917543e-03,1.832774e+03,false,9.674591e-02,2.844789e-01,8.913399e-05,0.845569,0.132752,71.5
8,2-4-8-16,4,48,no,5.484323e-04,Z4,0.5472968202,3.24726009e-02,4.65650201e-03,6.973604,7.28682571e-06,1.85901616e-03,1.832774e+03,false,9.674591e-02,2.844789e-01,8.913399e-05,0.845569,0.132752,71.5
8,2-4-8-16,4,48,no,5.484323e-04,Z5,-0.2420958587,2.10236780e-02,5.13847547e-03,4.091423,6.75670741e-06,2.61300088e-03,1.832774e+03,false,9.674591e-02,2.844789e-01,8.913399e-05,0.845569,0.132752,71.5
8,2-4-8-16,4,48,no,5.484323e-04,Z6,0.7480519530,2.25618078e-02,3.17726807e-03,7.101009,9.87961000e-06,2.53501122e-03,1.832774e+03,false,9.674591e-02,2.844789e-01,8.913399e-05,0.845569,0.132752,71.5
8,2-4-8-16,4,48,no,5.484323e-04,Z7,-0.3692488824,4.89316746e-02,3.74792647e-03,13.055666,2.76943821e-06,1.43034509e-03,1.832774e+03,false,9.674591e-02,2.844789e-01,8.913399e-05,0.845569,0.132752,71.5
8,2-4-8-16,4,48,no,5.484323e-04,Z8,0.6822338771,1.88768254e-02,3.69570444e-04,51.077746,1.07558340e-05,8.66317780e-04,1.832774e+03,false,9.674591e-02,2.844789e-01,8.913399e-05,0.845569,0.132752,71.5
8,4-8-16,3,64,no,2.068842e-04,Z_mid,0.5472968202,1.55052008e-03,6.78991076e-04,2.283565,1.37269516e-05,1.85901616e-03,6.487269e+02,false,1.077906e-01,2.458828e-01,1.747674e-06,0.819210,0.613095,72.7
8,4-8-16,3,64,no,2.068842e-04,ZZ_mid,-0.5911151966,7.07513681e-04,4.00993023e-05,17.644040,2.45305318e-05,1.34601135e-03,6.487269e+02,false,1.077906e-01,2.458828e-01,1.747674e-06,0.819210,0.613095,72.7
8,4-8-16,3,64,no,2.068842e-04,Z_mean,0.1392920236,5.19542164e-04,5.43509682e-13,955902316.032377,5.46174217e-13,5.52058399e-13,6.487269e+02,false,1.077906e-01,2.458828e-01,1.747674e-06,0.819210,0.613095,72.7
8,4-8-16,3,64,no,2.068842e-04,Z1,-0.4064784575,1.54339073e-03,1.22717220e-04,12.576807,1.10493545e-05,1.11442886e-03,6.487269e+02,false,1.077906e-01,2.458828e-01,1.747674e-06,0.819210,0.613095,72.7
8,4-8-16,3,64,no,2.068842e-04,Z2,0.3476279498,1.59229706e-03,2.93161563e-04,5.431466,1.50322360e-05,5.62776983e-03,6.487269e+02,false,1.077906e-01,2.458828e-01,1.747674e-06,0.819210,0.613095,72.7
8,4-8-16,3,64,no,2.068842e-04,Z3,-0.1930512129,1.11008433e-02,3.40622412e-04,32.589879,9.92883058e-06,2.88917543e-03,6.487269e+02,false,1.077906e-01,2.458828e-01,1.747674e-06,0.819210,0.613095,72.7
8,4-8-16,3,64,no,2.068842e-04,Z4,0.5472968202,1.55052008e-03,6.78991076e-04,2.283565,1.37269516e-05,1.85901616e-03,6.487269e+02,false,1.077906e-01,2.458828e-01,1.747674e-06,0.819210,0.613095,72.7
8,4-8-16,3,64,no,2.068842e-04,Z5,-0.2420958587,5.24767072e-03,5.45403065e-04,9.621638,2.38593918e-05,2.61300088e-03,6.487269e+02,false,1.077906e-01,2.458828e-01,1.747674e-06,0.819210,0.613095,72.7
