n,family,r,chi,at_ceiling,eps_chi,obs,O_exact,err_direct,err_dmpf,ratio,err_proj,err_best_single,cond_N,singular,relerr_N,dc_max,dcNdc,dc_frac_null,corr_min,time_s
10,4-8-16,3,48,no,1.361174e-04,Z_mid,0.0450521809,1.15420135e-02,4.11009468e-05,280.821110,5.56633199e-06,3.25077083e-04,1.205679e+02,false,2.673134e-01,5.250796e-01,8.029988e-06,0.817684,0.493901,2114.1
10,4-8-16,3,48,no,1.361174e-04,ZZ_mid,-0.4400287306,1.27188196e-02,1.98261413e-03,6.415177,6.84454007e-05,2.79833993e-03,1.205679e+02,false,2.673134e-01,5.250796e-01,8.029988e-06,0.817684,0.493901,2114.1
10,4-8-16,3,48,no,1.361174e-04,Z_mean,0.2591817793,5.02222427e-03,1.65978342e-13,30258310855.041138,1.64313008e-13,1.66089364e-13,1.205679e+02,false,2.673134e-01,5.250796e-01,8.029988e-06,0.817684,0.493901,2114.1
10,4-8-16,3,48,no,1.361174e-04,Z1,0.5528241271,1.30436497e-03,3.36571370e-04,3.875448,7.48038680e-07,3.11622633e-04,1.205679e+02,false,2.673134e-01,5.250796e-01,8.029988e-06,0.817684,0.493901,2114.1
10,4-8-16,3,48,no,1.361174e-04,Z2,-0.1136137213,9.52286396e-03,2.67180534e-04,35.642058,3.62467186e-05,1.90578709e-03,1.205679e+02,false,2.673134e-01,5.250796e-01,8.029988e-06,0.817684,0.493901,2114.1
10,4-8-16,3,48,no,1.361174e-04,Z3,0.3263197306,1.01822481e-03,2.66380461e-04,3.822446,5.23238251e-05,3.12562876e-03,1.205679e+02,false,2.673134e-01,5.250796e-01,8.029988e-06,0.817684,0.493901,2114.1
10,4-8-16,3,48,no,1.361174e-04,Z4,0.2065606881,5.48196822e-03,2.04114468e-04,26.857323,3.28233880e-05,2.18482176e-03,1.205679e+02,false,2.673134e-01,5.250796e-01,8.029988e-06,0.817684,0.493901,2114.1
10,4-8-16,3,48,no,1.361174e-04,Z5,0.0450521809,1.15420135e-02,4.11009468e-05,280.821110,5.56633199e-06,3.25077083e-04,1.205679e+02,false,2.673134e-01,5.250796e-01,8.029988e-06,0.817684,0.493901,2114.1
10,4-8-16,3,48,no,1.361174e-04,Z6,0.3309519723,2.60140244e-03,1.05878318e-03,2.456974,6.66329761e-05,3.71485585e-03,1.205679e+02,false,2.673134e-01,5.250796e-01,8.029988e-06,0.817684,0.493901,2114.1
10,4-8-16,3,48,no,1.361174e-04,Z7,0.0529617514,9.30438838e-03,6.37846887e-04,14.587182,6.16777835e-05,2.81344650e-03,1.205679e+02,false,2.673134e-01,5.250796e-01,8.029988e-06,0.817684,0.493901,2114.1
10,4-8-16,3,48,no,1.361174e-04,Z8,0.3827838627,5.17392584e-03,5.42114999e-05,95.439636,9.81389210e-06,2.14667094e-05,1.205679e+02,false,2.673134e-01,5.250796e-01,8.029988e-06,0.817684,0.493901,2114.1
10,4-8-16,3,48,no,1.361174e-04,Z9,0.0189315908,1.93404853e-04,6.61191441e-04,0.292510,1.92516197e-05,6.18591574e-04,1.205679e+02,false,2.673134e-01,5.250796e-01,8.029988e-06,0.817684,0.493901,2114.1
10,4-8-16,3,48,no,1.361174e-04,Z10,0.7890456106,7.07522541e-03,1.21708868e-04,58.132374,5.55852775e-05,2.47696875e-03,1.205679e+02,false,2.673134e-01,5.250796e-01,8.029988e-06,0.817684,0.493901,2114.1
10,3-8,2,48,no,1.361174e-04,Z_mid,0.0450521809,1.15420135e-02,2.80422856e-05,411.593180,5.94811341e-05,1.34563828e-03,4.144073e+01,false,9.116445e-02,7.687146e-03,1.632747e-06,0.779138,0.310658,2114.1
10,3-8,2,48,no,1.361174e-04,ZZ_mid,-0.4400287306,1.27188196e-02,6.62492865e-03,1.919843,5.40801837e-03,1.24744852e-02,4.144073e+01,false,9.116445e-02,7.687146e-03,1.632747e-06,0.779138,0.310658,2114.1
